id_gol;id_tekme;strelec;podajalec
263;64;159;154
264;64;148;155
265;64;148;160
266;65;149;157
267;65;149;156
268;65;36;37
269;65;38;31
270;65;32;31
271;66;159;149
272;66;155;147
273;66;154;156
274;66;150;147
275;67;158;157
276;67;152;153
277;67;149;156
278;67;79;80
279;67;78;67
280;67;65;69
281;67;66;65
282;68;158;152
283;68;158;153
284;68;98;95
285;68;97;90
286;68;86;89
287;69;149;147
288;69;147;153
289;69;156;153
290;70;131;136
291;70;133;138
292;70;130;128
293;71;155;148
294;71;158;149
295;71;178;172
296;71;177;166
297;71;174;175
298;71;168;170
299;71;159;160
300;72;200;194
301;72;196;189
302;73;18;10
303;73;19;12
304;73;5;12
305;73;6;19
306;74;174;180
307;74;174;176
308;74;38;27
309;74;38;27
310;74;27;31
311;75;59;51
312;75;56;34
313;75;44;49
314;76;169;176
315;76;170;173
316;76;179;177
317;76;77;73
318;76;75;72
319;76;72;66
320;76;68;66
321;77;175;178
322;77;176;178
323;77;169;177
324;77;94;99
325;78;173;165
326;78;172;166
327;78;171;170
328;78;180;171
329;79;170;172
330;79;179;169
331;79;179;166
332;79;133;135
333;80;156;160
334;82;17;12
335;82;20;12
336;83;38;33
337;83;39;32
338;83;40;31
339;83;31;29
340;84;200;196
341;84;194;193
342;84;196;189
343;84;188;189
344;84;56;52
345;84;56;60
346;84;59;52
347;84;46;55
348;85;194;189
349;85;194;192
350;85;200;199
351;85;78;71
352;85;78;74
353;85;74;73
354;85;66;71
355;86;100;91
356;86;100;91
357;87;196;194
358;87;199;185
359;87;200;193
360;87;119;111
361;88;139;131
362;88;137;133
363;88;133;129
364;89;146;154
365;89;158;153
366;89;158;154
367;90;166;178
368;90;199;193
